CPUTime(ms),GPUTime(ms),FrameTime(ms)
0,0,inf
535.011,0,5.72217e-10
291.567,1.0711,1.14443e-09
209.937,0.923648,1.71665e-09
168.2,2.59584,2.28887e-09
143.042,3.27936,2.86108e-09
125.805,3.45641,3.4333e-09
113.954,3.47648,4.00552e-09
104.9,3.51978,4.57773e-09
97.7779,3.56198,5.14995e-09
92.0363,3.56204,5.72217e-09
87.2703,3.58902,6.29438e-09
83.3534,3.6083,6.8666e-09
80.0264,3.62479,7.43882e-09
77.1255,3.64339,8.01103e-09
74.6267,3.65195,8.58325e-09
72.3862,3.68285,9.15547e-09
70.4835,3.85837,9.72768e-09
68.8305,3.86319,1.02999e-08
67.3041,3.87191,1.08721e-08
66.0234,3.87562,1.14443e-08
64.8306,4.02647,1.20166e-08
63.716,4.02837,1.25888e-08
62.8136,4.13314,1.3161e-08
61.8413,4.13785,1.37332e-08
61.0104,4.23565,1.43054e-08
60.2994,4.24698,1.48776e-08
59.5874,4.3088,1.54498e-08
58.9342,4.29811,1.60221e-08
58.339,4.38089,1.65943e-08
57.6716,4.36715,1.71665e-08
57.0482,4.33995,1.77387e-08
56.4943,4.32531,1.83109e-08
56.0057,4.30602,1.88832e-08
55.5655,4.2923,1.94554e-08
55.0822,4.35062,2.00276e-08
54.6901,4.35733,2.05998e-08
54.2568,4.34577,2.1172e-08
53.8517,4.34561,2.17442e-08
53.5334,4.35456,2.23165e-08
53.2225,4.41013,2.28887e-08
52.8919,4.40003,2.34609e-08
52.5704,4.38547,2.40331e-08
52.2878,4.37282,2.46053e-08
52.035,4.40139,2.51775e-08
51.7962,4.41477,2.57498e-08
51.5505,4.40739,2.6322e-08
51.3352,4.39788,2.68942e-08
51.1593,4.38712,2.74664e-08
51.0632,4.42178,2.80386e-08
50.8767,4.4196,2.86108e-08
50.6522,4.41139,2.91831e-08
50.4519,4.40493,2.97553e-08
50.2814,4.39713,3.03275e-08
50.1087,4.39025,3.08997e-08
49.9432,4.38619,3.14719e-08
49.7575,4.38682,3.20441e-08
49.5824,4.39331,3.26163e-08
49.4278,4.39168,3.31886e-08
